Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Deal Rating,Days on Market,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL
2024 Bentley Bentayga Azure V8 AWD,Bentley,Bentayga,2024,SJAAT2ZV1RC025847,"Beverly Hills, CA",New,"$271,902",,https://static.cargurus.com/images/forsale/2024/04/20/02/22/2024_bentley_bentayga-pic-8376616219099377654-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Adaptive Suspension, Backup Camera, Heated Seats, Android Auto, CarPlay",26 Miles,Azure V8 AWD,GRAY,SUV / Crossover,Gasoline,542 hp 4L V8,NA,101,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Beverly Hills,Beverly Hills,CA,90211,4.4,(205) 772-8109,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=383925281&entitySelectingHelper.selectedEntity=NEW_CAR#listing=383925281/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV4RC025422,"Thousand Oaks, CA",New,"$273,456",$269670.0,https://static.cargurus.com/images/forsale/2024/05/10/08/47/2024_bentley_bentayga-pic-2964797465457442109-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Adaptive Suspension, Backup Camera, Heated Seats, Android Auto, CarPlay",29 Miles,EWB V8 AWD,UNKNOWN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,81,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Rolls-Royce Motor Cars Westlake,Thousand Oaks,CA,91362,0,(805) 222-7094,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=385686835&entitySelectingHelper.selectedEntity=NEW_CAR#listing=385686835/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV2RC026083,"Wayland, MA",New,"$274,828",$274715.0,https://static.cargurus.com/images/forsale/2024/06/26/10/21/2024_bentley_bentayga-pic-4817584593908439350-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, CarPlay",15 Miles,EWB V8 AWD,UNKNOWN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,129,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Boston,Wayland,MA,01778,4.5,(866) 932-1556,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=381650620&entitySelectingHelper.selectedEntity=NEW_CAR#listing=381650620/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Azure V8 AWD,Bentley,Flying Spur,2024,SCBBG6ZGXRC014476,"Beverly Hills, CA",New,"$275,557",,https://static.cargurus.com/images/forsale/2024/07/09/03/43/2024_bentley_flying_spur-pic-4054861635278508860-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Adaptive Suspension, Backup Camera, Heated Seats, CarPlay",28 Miles,Azure V8 AWD,UNKNOWN,Sedan,Gasoline,542 hp 4L V8,NA,21,ALL_WHEEL_DRIVE,,,,Bentley Beverly Hills,Beverly Hills,CA,90211,4.4,(205) 772-8109,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390239273&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390239273/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV3RC025010,"La Jolla, CA",New,"$276,171",$272440.0,https://static.cargurus.com/images/forsale/2024/03/23/05/22/2024_bentley_bentayga-pic-6322323265967610573-1024x768.jpeg,,37 Miles,EWB V8 AWD,GRAY,SUV / Crossover,Gasoline,542 hp 4L V8,NA,129,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,O'Gara Coach La Jolla,La Jolla,CA,92037,4.67,(858) 304-7026,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=381638333&entitySelectingHelper.selectedEntity=NEW_CAR#listing=381638333/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV0RC025210,"Edison, NJ",New,"$278,049",$277445.0,https://static.cargurus.com/images/forsale/2024/04/17/04/09/2024_bentley_bentayga-pic-6131396016369800919-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Adaptive Suspension, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",32 Miles,EWB V8 AWD,UNKNOWN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,121,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley of Edison,Edison,NJ,08817,4.0,(732) 756-1093,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=382237619&entitySelectingHelper.selectedEntity=NEW_CAR#listing=382237619/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB Azure V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV7RC026273,"Beverly Hills, CA",New,"$280,737",,https://static.cargurus.com/images/forsale/2024/05/01/03/12/2024_bentley_bentayga-pic-1071146466374509002-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Adaptive Suspension, Backup Camera, Heated Seats, Android Auto, CarPlay",26 Miles,EWB Azure V8 AWD,UNKNOWN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,90,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Beverly Hills,Beverly Hills,CA,90211,4.4,(205) 772-8109,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=384844472&entitySelectingHelper.selectedEntity=NEW_CAR#listing=384844472/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Hybrid AWD,Bentley,Flying Spur,2024,SCBBR6ZG1RC017468,"Indianapolis, IN",New,"$281,105",,https://static.cargurus.com/images/forsale/2024/07/26/23/35/2024_bentley_flying_spur-pic-6934906002460164921-1024x768.jpeg,,39 Miles,Hybrid AWD,UNKNOWN,Sedan,Hybrid,536 hp 2.9L V6 Hybrid,NA,13,ALL_WHEEL_DRIVE,,,,Bentley Indianapolis,Indianapolis,IN,46240,4.5,(914) 730-5177,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391025231&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391025231/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Azure Hybrid AWD,Bentley,Flying Spur,2024,SCBBR6ZG8RC014390,"Beverly Hills, CA",New,"$281,412",,https://static.cargurus.com/images/forsale/2024/04/19/05/48/2024_bentley_flying_spur-pic-5788042235074152900-1024x768.jpeg,,37 Miles,Azure Hybrid AWD,GRAY,Sedan,Hybrid,536 hp 2.9L V6 Hybrid,NA,102,ALL_WHEEL_DRIVE,,,,Bentley Beverly Hills,Beverly Hills,CA,90211,4.4,(205) 772-8109,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=383809447&entitySelectingHelper.selectedEntity=NEW_CAR#listing=383809447/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Azure V8 AWD,Bentley,Flying Spur,2024,SCBBG6ZG5RC015843,"Beverly Hills, CA",New,"$283,427",,https://static.cargurus.com/images/forsale/2024/05/22/13/43/2024_bentley_flying_spur-pic-6412633619590074613-1024x768.jpeg,"Navigation System, Backup Camera, Heated Seats, CarPlay",30 Miles,Azure V8 AWD,GRAY,Sedan,Gasoline,542 hp 4L V8,NA,69,ALL_WHEEL_DRIVE,,,,Bentley Beverly Hills,Beverly Hills,CA,90211,4.4,(205) 772-8109,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=386665000&entitySelectingHelper.selectedEntity=NEW_CAR#listing=386665000/NEWCAR_FEATURED/DEFAULT
2024 Bentley Continental GT V8 AWD,Bentley,Continental GT,2024,SCBCG2ZG9RC016135,"Thousand Oaks, CA",New,"$283,431",$279645.0,https://static.cargurus.com/images/forsale/2024/07/17/05/56/2024_bentley_continental_gt-pic-7658139156008853305-1024x768.jpeg,"Navigation System, Backup Camera, Heated Seats, Android Auto, CarPlay",44 Miles,V8 AWD,UNKNOWN,Coupe,Gasoline,542 hp 4L V8,NA,13,ALL_WHEEL_DRIVE,,,,Bentley Rolls-Royce Motor Cars Westlake,Thousand Oaks,CA,91362,0,(805) 222-7094,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391055313&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391055313/NEWCAR_FEATURED/DEFAULT
2024 Bentley Continental GT Mulliner V8 AWD,Bentley,Continental GT,2024,SCBCG2ZG4RC014552,"Edison, NJ",New,"$284,979",$284375.0,https://static.cargurus.com/images/forsale/2024/04/06/10/15/2024_bentley_continental_gt-pic-5398598765164322683-1024x768.jpeg,"Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",51 Miles,Mulliner V8 AWD,GRAY,Coupe,Gasoline,542 hp 4L V8,NA,123,ALL_WHEEL_DRIVE,14.0 MPG,22.0 MPG,17.6 MPG,Bentley of Edison,Edison,NJ,08817,4.0,(732) 756-1093,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=382026437&entitySelectingHelper.selectedEntity=NEW_CAR#listing=382026437/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB Azure V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV8RC026542,"Beverly Hills, CA",New,"$286,302",,https://static.cargurus.com/images/forsale/2024/05/22/11/01/2024_bentley_bentayga-pic-6438961391775087699-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Adaptive Suspension, Backup Camera, Heated Seats, Android Auto, CarPlay",30 Miles,EWB Azure V8 AWD,UNKNOWN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,69,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Beverly Hills,Beverly Hills,CA,90211,4.4,(205) 772-8109,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=386664999&entitySelectingHelper.selectedEntity=NEW_CAR#listing=386664999/NEWCAR_FEATURED/DEFAULT
2024 Bentley Continental GT V8 AWD,Bentley,Continental GT,2024,SCBCG2ZG9RC014322,"La Jolla, CA",New,"$287,126",$283395.0,https://static.cargurus.com/images/forsale/2024/07/10/00/16/2024_bentley_continental_gt-pic-4260936437727475644-1024x768.jpeg,"Navigation System, Alloy Wheels, Backup Camera, Heated Seats, Android Auto, CarPlay",31 Miles,V8 AWD,UNKNOWN,Coupe,Gasoline,542 hp 4L V8,NA,20,ALL_WHEEL_DRIVE,,,,O'Gara Coach La Jolla,La Jolla,CA,92037,4.67,(858) 304-7026,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390324200&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390324200/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BBXRF109903,"Westborough, MA",New,"$48,055",$48055.0,https://static.cargurus.com/images/forsale/2024/06/10/16/55/2024_infiniti_qx50-pic-2323365190598306256-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",25 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,130,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=381507413&entitySelectingHelper.selectedEntity=NEW_CAR#listing=381507413/NEWCAR_FEATURED/DEFAULT
2024 INFINITI Q50 Luxe AWD,INFINITI,Q50,2024,JN1EV7BR7RM630067,"Westborough, MA",New,"$48,070",$48070.0,https://static.cargurus.com/images/forsale/2024/07/23/04/53/2024_infiniti_q50-pic-4886991129299861536-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Cargo Package, Heated Seats, CarPlay",5 Miles,Luxe AWD,WHITE,Sedan,Gasoline,300 hp 3L V6,NA,161,ALL_WHEEL_DRIVE,19.0 MPG,27.0 MPG,22.6 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=378921585&entitySelectingHelper.selectedEntity=NEW_CAR#listing=378921585/NEWCAR_FEATURED/DEFAULT
2024 INFINITI Q50 Luxe AWD,INFINITI,Q50,2024,JN1EV7BR0RM630783,"Westborough, MA",New,"$48,085",$48085.0,https://static.cargurus.com/images/forsale/2024/07/13/05/20/2024_infiniti_q50-pic-1645751988674302090-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Cargo Package, Heated Seats, CarPlay",16 Miles,Luxe AWD,BLUE,Sedan,Gasoline,300 hp 3L V6,NA,173,ALL_WHEEL_DRIVE,19.0 MPG,27.0 MPG,22.6 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=378030887&entitySelectingHelper.selectedEntity=NEW_CAR#listing=378030887/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB8RF111570,"Nashua, NH",New,"$48,110",$50160.0,https://static.cargurus.com/images/forsale/2024/07/18/22/37/2024_infiniti_qx50-pic-4570976315018585292-1024x768.jpeg,"Sunroof/Moonroof, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated Seats, CarPlay",3 Miles,Luxe AWD,WHITE,SUV / Crossover,Gasoline,268 hp 2L I4,NA,33,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=389497201&entitySelectingHelper.selectedEntity=NEW_CAR#listing=389497201/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB5RF104558,"Norwood, MA",New,"$48,555",$50555.0,,"Leather Seats, Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",5 Miles,Luxe AWD,WHITE,SUV / Crossover,Gasoline,268 hp 2L I4,NA,20,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Norwood,Norwood,MA,02062,4.67,(747) 888-0735,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390404861&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390404861/NEWCAR_FEATURED/DEFAULT
2024 INFINITI Q50 Luxe AWD,INFINITI,Q50,2024,JN1EV7BR2RM631465,"Westborough, MA",New,"$48,570",$48570.0,https://static.cargurus.com/images/forsale/2024/06/23/07/58/2024_infiniti_q50-pic-2233263879172150087-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Cargo Package, Heated Seats, CarPlay",8 Miles,Luxe AWD,WHITE,Sedan,Gasoline,300 hp 3L V6,NA,122,ALL_WHEEL_DRIVE,19.0 MPG,27.0 MPG,22.6 MPG,Herb Chambers INFINITI of Westborough,Westborough,MA,01581,4.75,(508) 232-7021,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=382204422&entitySelectingHelper.selectedEntity=NEW_CAR#listing=382204422/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB0RF103916,"Danvers, MA",New,"$48,575",$50575.0,https://static.cargurus.com/images/forsale/2024/02/01/23/44/2024_infiniti_qx50-pic-894996862520597639-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",14 Miles,Luxe AWD,BLACK,SUV / Crossover,Gasoline,268 hp 2L I4,NA,179,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Kelly INFINITI,Danvers,MA,01923,0,(978) 307-7130,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=377523345&entitySelectingHelper.selectedEntity=NEW_CAR#listing=377523345/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB0RF113460,"Nashua, NH",New,"$48,608",$48360.0,https://static.cargurus.com/images/forsale/2024/07/18/08/22/2024_infiniti_qx50-pic-5583813448500751631-1024x768.jpeg,"Sunroof/Moonroof, Alloy Wheels, Backup Camera, Parking Sensors, Heated Seats",6 Miles,Luxe AWD,GRAY,SUV / Crossover,Gasoline,268 hp 2L I4,NA,30,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Infiniti of Nashua,Nashua,NH,03060,4.04,(844) 980-4345,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=389764090&entitySelectingHelper.selectedEntity=NEW_CAR#listing=389764090/NEWCAR_FEATURED/DEFAULT
2024 INFINITI QX50 Luxe AWD,INFINITI,QX50,2024,3PCAJ5BB7RF105601,"Danvers, MA",New,"$48,850",$50850.0,https://static.cargurus.com/images/forsale/2024/06/04/22/15/2024_infiniti_qx50-pic-3708539918441351045-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, CarPlay",8 Miles,Luxe AWD,BLACK,SUV / Crossover,Gasoline,268 hp 2L I4,NA,55,ALL_WHEEL_DRIVE,22.0 MPG,28.0 MPG,24.7 MPG,Kelly INFINITI,Danvers,MA,01923,0,(978) 307-7130,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=387770081&entitySelectingHelper.selectedEntity=NEW_CAR#listing=387770081/NEWCAR_FEATURED/DEFAULT
